candidate_id,name,slug,domain,source,source_url,source_id,type_guess,status_guess,hei_existing_check,decision,notes,generated_at
hei_unadded_0361,Changelly PRO,changelly,pro.changelly.com,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=1,changelly,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=96,2026-06-11T02:37:49.704Z
hei_unadded_0362,ChaoEX,chaoex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chaoex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0363,Chapool,chapool,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,chapool,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Physical TCG; chains=opBNB,2026-06-11T02:37:49.704Z
hei_unadded_0364,Cherryswap,cherryswap,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cherryswap,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0365,ChileBit,chilebit,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chilebit,cex_or_exchange_like,inactive_or_dead,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=false,2026-06-11T02:37:49.704Z
hei_unadded_0366,Chiliz,chiliz,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chiliz,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0367,ChimpX AI DEX,chimpx-ai-dex,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,chimpx-ai-dex,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Linea,2026-06-11T02:37:49.704Z
hei_unadded_0368,Choice,choice,choice.exchange,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=3,choice,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=576,2026-06-11T02:37:49.704Z
hei_unadded_0369,Chronos,chronos,app.chronos.exchange,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=4,chronos,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=787,2026-06-11T02:37:49.704Z
hei_unadded_0370,Chronos V1,chronos-v1,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,chronos-v1,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Arbitrum,2026-06-11T02:37:49.704Z
